Quote,Start Location,End Location,Is Quote
"""Too bad! I was looking for some one to give this to. May I take it to
your sister?""",75593,75677,True
"""Oh, thank you! I'll show you where she is. I don't offer to take it
myself, for I should only get into another scrape if I did.""",75679,75808,True
"""nice boy.""",76011,76022,True
"""Buzz,""",76116,76123,True
"""Hush! Don't say anything,""",76315,76342,True
"""It's nothing.
I turned my foot a little, that's all""",76372,76425,True
"""It's so early! You can't mean to go yet?""",76909,76951,True
"""I always go early,--I do, truly! Please let me take you home? It's all
on my way, you know, and it rains, they say.""",77017,77134,True
"""I had a capital time. Did you?""",77521,77553,True
"""Yes, till I hurt myself. Sallie's friend, Annie Moffat, took a fancy to
me, and asked me to come and spend a week with her, when Sallie does.
She is going in the spring, when the opera comes; and it will be
perfectly splendid, if mother only lets me go,""",77619,77874,True
"""I saw you dancing with the red-headed man I ran away from. Was he
nice?""",77918,77991,True
"""Oh, very! His hair is auburn, not red; and he was very polite, and I
had a delicious redowa with him.""",77993,78096,True
"""He looked like a grasshopper in a fit, when he did the new step. Laurie
and I couldn't help laughing. Did you hear us?""",78098,78218,True
"""No; but it was very rude. What _were_ you about all that time, hidden
away there?""",78220,78303,True
"""Good night,""",78411,78424,True
"""Tell about the party! tell about the party!""",78580,78625,True
"""a great want of manners,""",78648,78674,True
"""I declare, it really seems like being a fine young lady, to come home
from the party in a carriage, and sit in my dressing-gown, with a maid
to wait on me,""",78804,78961,True
"""I don't believe fine young ladies enjoy themselves a bit more than we
do, in spite of our burnt hair, old gowns, one glove apiece, and tight
slippers that sprain our ankles when we are silly enough to wear them.""",79032,79245,True
"""Oh dear, how hard it does seem to take up our packs and go on,""",79489,79553,True
"""I wish it was Christmas or New-Year all the time; wouldn't it be fun?""",79721,79792,True
